ID,linker
174,O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
175,[O]P(=O)(Cc1ccc(cc1)CP(=O)([O])[O])[O]
176,[O-]C(=O)CCC(=O)[O-]
177,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
178,[O-]C(=O)CCCCC(=O)[O-]
179,[O-]C(=O)CCCCCCC(=O)[O-]
180,[O-]C(=O)c1ccncc1
181,Fc1c(c2c(F)c(F)c(c(c2F)F)C2=NN=N[N]2)c(F)c(c(c1F)C1=NN=N[N]1)F
182,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
183,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
184,[O-]C(=O)c1cccc(c1)C(=O)[O-]
185,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
186,[O-]C(=O)c1ccc(s1)C(=O)[O-]
187,
188,
189,[O-]C(=O)c1ccnc(c1)C(=O)[O-]
190,N#Cc1c(nc(c(c1c1ccc(cc1)C(=O)[O-])C#N)c1ccncc1)c1ccncc1
191,[O-]C(=O)c1ccnc(c1)C(=O)[O-]
192,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]
193,N1=C[C](C=N1)c1ccc2c(c1)ccc(c2)C1=C[N]N=C1
194,[O-]C(=O)C=CC(=O)[O-]
195,[O-]C(=O)C=CC(=O)[O-]
196,
197,
198,O=C1N(c2cccc3c2C=C[CH][N]3)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1cccc2c1cccn2
199,[N]1N=[C]C(=[C]1)c1ccc(cc1)C1=CN=N[CH]1
200,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
201,[O-]C(=O)C1CC(CC(C1)C(=O)[O-])C(=O)[O-]
202,[O-]C(=O)C1CC(CC(C1)C(=O)[O-])C(=O)[O-]
203,[O-]C(=O)C1CC(CC(C1)C(=O)[O-])C(=O)[O-]
204,[O-]C(=O)C1CC(CC(C1)C(=O)[O-])C(=O)[O-]
205,[C]#N
206,n1ccc(cc1)c1ccncc1
207,n1ccc(cc1)c1ccncc1
208,
209,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
210,C1=N[CH]C=N1
211,[O-]C(=O)CN(C1=NC(=[N]=C([N]1)N(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
212,[O]P(=O)(C[NH]1CC[NH](CC1)CP(=O)([O])[O])[O]
213,[O]P(=O)(CN1CCN(CC1)CP(=O)([O])[O])[O]
214,CC1=N[N]C(=N1)C
215,[CH2]C1=NN=C([N]1)C
216,O=C1N(c2ccncc2)C(=O)c2c1cc(cc2)C(=O)[O-]
217,[O-]C(=O)C=Cc1ccc(cc1)C=CC(=O)[O-]
218,
219,
220,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]
221,[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]
222,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]
223,c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1
224,c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1
225,
226,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
227,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
228,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
229,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
230,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
231,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
