ID,ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
216,0.018181818,48,112.4,1.61,3.8,6,-70
217,0.025210084,30,65.58,1.42,3.69,7.08,-60
218,0.027027027,25,54.94,1.61,3.47,8.6,-50
219,0.024390244,25,54.94,1.61,3.47,8.6,-50
220,0.111111111,27,58.93,1.52,4.27,6.8,64
221,0.019736842,25,54.94,1.61,3.47,8.6,-50
222,0.028169014,29,63.55,1.45,4.48,6.1,119
223,0.029411765,48,112.4,1.61,3.8,6,-70
224,0.029411765,48,112.4,1.61,3.8,6,-70
225,0.028571429,29,63.55,1.45,4.48,6.1,119
226,0.017857143,70,173,2.22,3.12,22,-2
227,0.066666667,25,54.94,1.61,3.47,8.6,-50
228,0.066666667,27,58.93,1.52,4.27,6.8,64
229,0.022727273,39,88.91,2.12,3.26,22,30
230,0.022727273,70,173,2.22,3.12,22,-2
231,0.022727273,71,175,2.17,2.88,20,23
232,0.022727273,62,150.5,2.38,3.35,29,16
233,0.022727273,64,157,2.33,3.45,26,13
234,0.022727273,66,162.5,2.28,3.51,25,1
235,0.022727273,67,165,2.26,3.55,23,33
236,0.022727273,68,167,2.26,3.58,23,30
237,0.022727273,69,169,2.22,3.61,22,99
238,0.047619048,60,144,2.06,3.25,32,9
239,0.041666667,27,58.93,1.52,4.27,6.8,64
240,0.041666667,28,58.69,1.49,4.4,6.5,112
241,0.04,27,58.93,1.52,4.27,6.8,64
242,0.04,28,58.69,1.49,4.4,6.5,112
243,0.035294118,25,54.94,1.61,3.47,8.6,-50
244,0.066666667,27,58.93,1.52,4.27,6.8,64
245,0.043478261,26,55.85,1.56,4.03,7.5,15
246,0.043478261,26,55.85,1.56,4.03,7.5,15
247,0.043478261,26,55.85,1.56,4.03,7.5,15
248,0.043478261,26,55.85,1.56,4.03,7.5,15
249,0.058823529,30,65.58,1.42,3.69,7.08,-60
250,0.058823529,27,58.93,1.52,4.27,6.8,64
251,0.103448276,29,63.55,1.45,4.48,6.1,119
252,0.0625,29,63.55,1.45,4.48,6.1,119
253,0.0625,29,63.55,1.45,4.48,6.1,119
254,0.024390244,27,58.93,1.52,4.27,6.8,64
255,0.029411765,27,58.93,1.52,4.27,6.8,64
256,0.020833333,25,54.94,1.61,3.47,8.6,-50
257,0.024390244,25,54.94,1.61,3.47,8.6,-50
258,0.0625,30,65.58,1.42,3.69,7.08,-60
259,0.06,25,54.94,1.61,3.47,8.6,-50
260,0.071428571,29,63.55,1.45,4.48,6.1,119
261,0.022222222,25,54.94,1.61,3.47,8.6,-50
262,0.029411765,48,112.4,1.61,3.8,6,-70
263,0.0625,23,50.94,1.71,3.64,11.4,51
264,0.0625,23,50.94,1.71,3.64,11.4,51
265,0.02,48,112.4,1.61,3.8,6,-70
266,0.038461538,30,65.58,1.42,3.69,7.08,-60
267,0.045454545,25,54.94,1.61,3.47,8.6,-50
268,0.016393443,60,144,2.06,3.25,32,9
269,0.016393443,59,141,2.47,3.22,34,11
270,0.021276596,27,58.93,1.52,4.27,6.8,64
271,0.025,30,65.58,1.42,3.69,7.08,-60
272,0.081081081,27,58.93,1.52,4.27,6.8,64
