Order,PLD,LCD,Void,Surface[m^2/g],Pore_Volume[cm^3/g],Density[cm^3/g]
251,4.17098,5.41999,0.120476,0,0.07041524,0.584475212
252,3.41694,4.06578,0.0303785,0,0.01915313,0.630483036
253,4.54176,4.97259,0.0931427,0,0.06786189,0.728579762
254,3.66467,5.65772,0.0613098,0,0.05381903,0.877821047
255,3.58548,4.77106,0.0504531,0,0.04898184,0.970839141
256,3.78223,5.43686,0.0727726,0,0.06800895,0.934540637
257,5.12268,6.50226,0.110547,61.615653,0.10513993,0.951088001
258,3.60592,5.14973,0.12551,0,0.11731985,0.934745041
259,4.20541,5.23974,0.0958724,0,0.07896752,0.823673177
260,3.73452,4.47282,0.0250206,0,0.01868073,0.746613942
261,5.12557,6.43226,0.125559,77.393787,0.11404214,0.908275336
262,4.12009,4.47128,0.0548061,0,0.04314692,0.787264981
263,3.62201,4.94632,0.0426036,0,0.03375844,0.792384623
264,3.61197,4.94021,0.0482171,0,0.03878205,0.804321412
265,4.31602,7.03468,0.106736,115.640666,0.06590981,0.617503086
266,4.19483,4.90243,0.0638822,0,0.06649102,1.040837913
267,3.40153,8.8542,0.158645,344.957643,0.17414801,1.09772139
268,3.53464,6.33041,0.0892045,4.991552,0.07934941,0.889522516
269,3.59662,6.39515,0.0942161,11.764783,0.08462766,0.898229259
270,5.85771,9.88248,0.165886,391.555678,0.17865932,1.077000571
271,8.3446,10.06794,0.378672,2240.698516,0.72047489,1.902635751
272,4.69267,6.93403,0.131679,139.051474,0.09315625,0.707449552
273,5.02339,6.95018,0.071016,55.308118,0.05129066,0.722240917
274,5.17393,6.55711,0.219219,117.886731,0.2024317,0.923422245
275,5.18448,6.56767,0.220621,123.980151,0.20450714,0.926961363
276,5.17345,6.55475,0.218158,114.451117,0.20081657,0.920509746
277,6.36752,6.73391,0.162323,174.170825,0.13992609,0.862022576
278,3.99695,4.50084,0.0510169,0,0.04352224,0.853094574
279,6.77797,13.27273,0.416201,1256.545652,0.46920448,1.12735067
280,6.77146,13.27438,0.416084,1256.240917,0.46921658,1.127696762
281,6.77204,13.27579,0.415985,1256.924052,0.46919588,1.127915374
282,6.76543,13.278,0.417211,1257.175255,0.47070792,1.128225103
283,6.76611,13.28033,0.415869,1256.874071,0.46929996,1.128480267
284,6.77387,13.28168,0.415793,1256.832263,0.46926725,1.128607865
285,6.76031,13.28401,0.415597,1255.969272,0.46925057,1.12909999
286,6.76798,13.28482,0.41554,1255.984675,0.46922411,1.129191206
287,6.76103,13.28605,0.415601,1256.054325,0.46936876,1.129373504
288,6.76156,13.28775,0.415582,1255.939093,0.46943067,1.129574111
289,6.76281,13.29075,0.41564,1257.489449,0.4696933,1.130048366
290,6.76334,13.29207,0.415624,1257.336911,0.4697586,1.130248984
291,6.76267,13.29049,0.415548,1256.837757,0.46956659,1.129993623
292,6.76281,13.29,0.416867,1257.474034,0.47107987,1.130048366
293,6.76286,13.28972,0.417043,1258.215097,0.47128636,1.130066592
294,6.76108,13.28577,0.417088,1257.165531,0.47105576,1.129391792
295,6.77503,13.28375,0.417166,1257.866483,0.4709993,1.129045279
296,6.78203,13.28186,0.417311,1258.356252,0.47109455,1.128881225
297,6.79597,13.28022,0.415956,1258.280663,0.46942089,1.12853496
298,6.78912,13.28014,0.417196,1258.076872,0.47091152,1.128753681
299,6.7662,13.27827,0.417388,1258.263539,0.47102932,1.128516681
300,6.80248,13.27634,0.41739,1258.746187,0.47089468,1.128188696
301,6.80132,13.27241,0.416137,1258.291606,0.4692991,1.12775143
302,6.79351,13.27171,0.417549,1258.39623,0.47083063,1.127605701
303,6.8074,13.26813,0.417569,1258.175934,0.47070108,1.127241431
304,6.8072,13.26815,0.416433,1259.379804,0.46939017,1.127168515
305,6.79655,13.27457,0.41767,1259.848312,0.47144655,1.128753681
306,6.79683,13.26139,0.41597,1255.349795,0.46840639,1.126058116
307,6.80401,13.25984,0.416435,1258.299051,0.46889213,1.125967143
308,6.74924,13.24963,0.417178,1252.095502,0.46928852,1.124911965
309,6.78756,13.24882,0.417734,1255.042068,0.47010392,1.125366668
310,6.7705,13.24039,0.417263,1252.250998,0.46922478,1.12453004
311,6.71955,13.23107,0.417523,1252.486487,0.46967662,1.124911965
312,6.75854,13.21365,0.417179,1252.911141,0.46958558,1.125621331
