Order,I2-heat,H2O-heat,N2-heat,O2-heat,I2-henry,N2-henry,O2-henry,H2O-henry
334,-6236.77852,-11121.26376,-1375.10201,-1295.29977,0.0207939,5.28E-07,5.69E-07,2.78E-07
335,-5867.70443,-5382.95703,-1189.78353,-1165.17442,0.00836779,6.14E-07,6.61E-07,3.53E-07
336,-5639.28674,-1677.97235,-1728.32041,-1809.03029,0.00135199,8.14E-07,1.00E-06,4.35E-07
337,-7538.23535,-5593.72089,-1786.80876,-1641.48884,0.0289938,4.36E-07,4.85E-07,2.13E-07
338,-8103.26762,-4795.29888,-1910.57048,-1780.85199,0.12916,6.19E-07,7.13E-07,2.93E-07
339,-8749.53425,-6141.32204,-2010.13871,-1962.12955,0.219259,8.30E-07,1.06E-06,3.98E-07
340,-4778.59686,-5657.33069,-1619.95142,-1595.87185,2.79E-05,6.42E-07,8.56E-07,4.03E-07
341,-2003.64806,-5279.60826,-425.24601,-398.96467,1.77E-05,9.48E-07,9.85E-07,8.03E-07
342,-4521.76359,-4160.43885,-1102.71223,-1118.26915,1.44E-05,4.86E-08,6.52E-08,4.69E-08
343,-6277.6611,-12545.11713,-1663.18729,-1093.29416,0.00266753,2.00E-07,2.22E-07,1.36E-07
344,-3525.39007,-2993.76712,-1949.89198,-1956.684,2.53E-07,5.74E-07,8.37E-07,3.36E-07
345,-5751.42306,-2358.05593,-1562.37265,-1508.70675,0.000143477,1.77E-07,2.21E-07,1.13E-07
346,-3662.77422,-2460.81729,-1638.72812,-1587.48655,4.44E-07,1.40E-07,1.90E-07,9.81E-08
347,-5674.86916,-2263.85252,-1586.17035,-1532.08688,0.000109922,1.79E-07,2.24E-07,1.12E-07
348,-5744.67884,-1691.60996,-1167.67795,-1191.22904,0.00388747,8.77E-07,9.96E-07,5.40E-07
349,-2954.91962,-767.35772,-581.58527,-598.78991,6.15E-05,7.63E-07,8.14E-07,6.00E-07
350,-3028.40164,-9118.20062,-1066.05187,-793.65322,3.68E-06,1.34E-07,1.57E-07,1.11E-07
351,-3155.05953,-8610.26639,-966.02164,-774.24228,4.23E-06,1.38E-07,1.61E-07,1.15E-07
352,-2881.76214,-7814.23176,-980.91338,-815.68839,1.35E-06,1.03E-07,1.24E-07,8.83E-08
353,-3450.65398,-6903.45462,-1015.16343,-886.00774,3.85E-06,9.26E-08,1.16E-07,7.88E-08
354,-5630.20007,-7177.27316,-1281.96089,-1150.18477,0.00473196,5.74E-07,6.24E-07,3.40E-07
355,-4323.61735,-1330.23273,-863.31442,-917.84765,0.000322863,7.34E-07,8.27E-07,5.34E-07
356,-6438.32316,-1183.87356,-1370.39659,-1388.86703,0.0773348,1.23E-06,1.34E-06,6.16E-07
357,-6503.29588,-2384.0372,-1392.87095,-1411.50059,0.0858039,1.26E-06,1.39E-06,6.29E-07
358,-6382.19241,-1188.36171,-1369.28719,-1390.70118,0.0687107,1.25E-06,1.37E-06,6.28E-07
359,-3766.69121,-7099.29254,-1639.55898,-1597.59863,5.45E-07,1.75E-07,2.62E-07,1.41E-07
360,-5980.29905,-7151.47917,-1398.01897,-1268.62971,0.00667338,6.20E-07,6.91E-07,3.59E-07
361,-6843.00305,-10696.50051,-1618.06424,-1464.79867,0.00991119,6.27E-07,7.12E-07,3.37E-07
362,-6598.35363,-1844.29821,-1256.55917,-1295.18874,0.0154421,5.87E-07,6.71E-07,3.58E-07
363,-6826.79818,-17169.64747,-2365.62007,-1736.46495,0.00252567,4.92E-07,6.25E-07,2.72E-07
364,-6835.6979,-12667.09332,-2054.65426,-1812.97915,0.00233019,5.40E-07,7.23E-07,3.08E-07
365,-6932.70413,-16202.19305,-2257.8182,-1746.96868,0.00338397,5.01E-07,6.33E-07,2.75E-07
366,-6741.734,-17399.55812,-2405.50739,-1755.65507,0.00192432,4.80E-07,6.14E-07,2.68E-07
367,-6682.55906,-17625.03689,-2424.20077,-1771.99273,0.0015324,4.61E-07,6.00E-07,2.62E-07
368,-6626.65329,-17239.69783,-2368.29213,-1780.30373,0.00129695,4.51E-07,5.93E-07,2.58E-07
369,-6632.60386,-17397.61439,-2375.62527,-1790.44682,0.00117345,4.36E-07,5.79E-07,2.53E-07
370,-6745.09669,-8841.85287,-1825.28019,-1766.19139,0.0015951,4.32E-07,5.75E-07,2.49E-07
371,-6809.37267,-15467.04293,-2145.50713,-1786.36931,0.00193028,4.31E-07,5.73E-07,2.45E-07
372,-6782.46139,-3109.8377,-1259.55453,-1251.51985,0.0210261,7.13E-07,7.95E-07,4.10E-07
373,-6809.86931,-3015.3216,-2151.97225,-2160.54235,0.000818893,8.94E-07,1.26E-06,4.29E-07
374,-7406.5409,-5128.44229,-1654.79518,-1591.88175,0.0838044,6.03E-07,6.67E-07,2.89E-07
375,-7363.48264,-4636.44451,-1637.53408,-1585.24666,0.0811061,6.24E-07,6.89E-07,2.99E-07
376,-6915.64901,-4427.78939,-1465.15275,-1424.5503,0.0202643,4.62E-07,5.54E-07,2.81E-07
377,-6462.83462,-4105.45705,-1319.74615,-1260.27432,0.0273349,4.64E-07,4.90E-07,2.45E-07
378,-5610.23764,-14729.84743,-1384.72733,-1085.66783,0.00329717,5.76E-07,6.37E-07,3.62E-07
