Order,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1
127,38.64235328,18.6055775,1.431198269,0,5.724793078,0,0,0,12.88078443,0,0,0,0,0,0,0,0,0
128,15.5619218,20.42502237,0,0.972620113,4.863100564,0.972620113,0,0,0.972620113,0,0,0,0,0,0,0,0,0
129,16.39425895,23.42036993,4.684073986,1.171018496,4.098564738,0,0,0,0,0,0,0,0,0,0,0,0,0
130,33.44598377,3.040543979,0,3.040543979,6.081087958,0,0,0,18.24326387,0,0,0,0,0,0,0,0,0
131,29.14099488,2.649181353,0,5.298362706,2.649181353,0,2.649181353,0,15.89508812,0,0,0,2.649181353,0,0,0,0,0
132,28.75183753,2.613803411,0,5.227606823,2.613803411,0,2.613803411,0,15.68282047,0,0,0,2.613803411,0,0,0,0,0
133,6.673475516,15.57144287,2.224491839,4.448983678,4.448983678,0,0,0,0,0,0,0,0,0,0,0,0,0
134,21.99356359,35.52806426,11.84268809,1.691812584,5.075437752,0,0,0,0,0,0,0,0,0,0,0,0,0
135,14.79637332,20.34501331,1.849546665,0,0,0,0,1.849546665,1.849546665,0,0,0,0,3.699093329,7.398186658,0,0,3.699093329
136,24.40977349,36.61466023,15.25610843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,23.33557575,35.00336363,14.58473485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,13.52113173,20.2816976,8.450707331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,16.88860421,30.96244105,8.444302106,2.814767369,8.444302106,0,0,0,0,0,0,0,0,0,0,0,0,0
140,13.83156139,27.66312277,11.52630115,2.305260231,6.915780693,0,0,0,0,0,0,0,0,0,0,0,0,0
141,16.49184493,29.68532087,0,0,19.79021391,3.298368986,0,0,0,0,0,0,0,0,0,0,0,0
142,9.263929244,18.52785849,0,7.719941037,1.543988207,0,0,0,0,0,0,0,0,0,0,0,0,0
